,Symbol,Description,Industry,Sector
27,ACHC,"ACADIA HEALTHCARE COMPANY, INC.",Medical Specialities,Health Care
28,ACI,"ALBERTSONS COMPANIES, INC.",Food Chains,Consumer Services
29,ACIA,"ACACIA COMMUNICATIONS, INC.",Semiconductors,Technology
30,ACIW,"ACI WORLDWIDE, INC.",Computer Software: Prepackaged Software,Technology
31,ACLS,"AXCELIS TECHNOLOGIES, INC.",Industrial Machinery/Components,Technology
32,ACM,AECOM,Military/Government/Technical,Consumer Services
33,ACN,ACCENTURE PLC,Business Services,Miscellaneous
34,ACNB,ACNB CORPORATION,Major Banks,Finance
35,ACOR,"ACORDA THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
36,ACRE,ARES COMMERCIAL REAL ESTATE CORPORATION,Real Estate Investment Trusts,Consumer Services
37,ACRS,"ACLARIS THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
38,ACRX,"ACELRX PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
39,ACT,ADVISORSHARES VICE ETF,,
40,ACTG,ACACIA RESEARCH CORPORATION,Multi-Sector Companies,Miscellaneous
41,ACV,ALLIANZGI DIVERSIFIED INCOME & CONVERTIBLE FUND,,
42,ADBE,ADOBE INC.,Computer Software: Prepackaged Software,Technology
43,ADC,AGREE REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
44,ADCT,ADC THERAPEUTICS SA,Major Pharmaceuticals,Health Care
45,ADES,"ADVANCED EMISSIONS SOLUTIONS, INC.",Major Chemicals,Basic Industries
46,ADI,"ANALOG DEVICES, INC.",Semiconductors,Technology
47,ADM,ARCHER-DANIELS-MIDLAND COMPANY,Packaged Foods,Consumer Non-Durables
48,ADMS,"ADAMAS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
49,ADNT,ADIENT PLC,Auto Parts:O.E.M.,Capital Goods
50,ADP,"AUTOMATIC DATA PROCESSING, INC.",EDP Services,Technology
51,ADPT,ADAPTIVE BIOTECHNOLOGIES CORPORATION,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
52,ADRO,"ADURO BIOTECH, INC.",Major Pharmaceuticals,Health Care
53,ADS,ALLIANCE DATA SYSTEMS CORPORATION,Business Services,Miscellaneous
54,ADSK,"AUTODESK, INC.",Computer Software: Prepackaged Software,Technology
55,ADSW,"ADVANCED DISPOSAL SERVICES, INC.",Environmental Services,Public Utilities
56,ADT,ADT INC.,Diversified Commercial Services,Consumer Services
57,ADTN,"ADTRAN, INC.",Telecommunications Equipment,Public Utilities
58,ADUS,ADDUS HOMECARE CORPORATION,Medical/Nursing Services,Health Care
59,ADXS,"ADVAXIS, INC.",Major Pharmaceuticals,Health Care
60,AE,"ADAMS RESOURCES & ENERGY, INC.",Oil Refining/Marketing,Energy
61,AEE,AMEREN CORPORATION,Power Generation,Public Utilities
62,AEGN,AEGION CORP,Water Supply,Basic Industries
63,AEIS,"ADVANCED ENERGY INDUSTRIES, INC.",Industrial Machinery/Components,Capital Goods
64,AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,Life Insurance,Finance
65,AEO,"AMERICAN EAGLE OUTFITTERS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
66,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Electric Utilities: Central,Public Utilities
67,AERI,"AERIE PHARMACEUTICALS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
68,AES,THE AES CORPORATION,Electric Utilities: Central,Basic Industries
69,AFG,"AMERICAN FINANCIAL GROUP, INC.",Property-Casualty Insurers,Finance
70,AFH,,,
71,AFI,"ARMSTRONG FLOORING, INC.",Plastic Products,Consumer Non-Durables
72,AFL,AFLAC INCORPORATED,Accident &Health Insurance,Finance
73,AG,FIRST MAJESTIC SILVER CORP.,Precious Metals,Basic Industries
74,AGCO,AGCO CORPORATION,Industrial Machinery/Components,Capital Goods
75,AGEN,AGENUS INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
76,AGFS,"AGROFRESH SOLUTIONS, INC.",Business Services,Finance
77,AGIO,"AGIOS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
78,AGM,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,Finance Companies,Finance
79,AGNC,AGNC INVESTMENT CORP.,Real Estate Investment Trusts,Consumer Services
80,AGO,ASSURED GUARANTY LTD.,Property-Casualty Insurers,Finance
81,AGR,"AVANGRID, INC.",Electric Utilities: Central,Public Utilities
82,AGX,"ARGAN, INC.",Engineering & Construction,Basic Industries
83,AGYS,"AGILYSYS, INC.",EDP Services,Technology
84,AHC,A.H. BELO CORPORATION,Newspapers/Magazines,Consumer Services
85,AHH,"ARMADA HOFFLER PROPERTIES, INC.",Real Estate,Finance
86,AHT,ASHFORD HOSPITALITY TRUST INC,Real Estate Investment Trusts,Consumer Services
87,AI,ARLINGTON ASSET INVESTMENT CORP,Real Estate Investment Trusts,Consumer Services
88,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Property-Casualty Insurers,Finance
89,AIMC,ALTRA INDUSTRIAL MOTION CORP.,Industrial Machinery/Components,Capital Goods
90,AIMT,"AIMMUNE THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
91,AIN,ALBANY INTERNATIONAL CORPORATION,Textiles,Basic Industries
92,AINV,APOLLO INVESTMENT CORPORATION,,
93,AIQ,GLOBAL X ARTIFICIAL INTELLIGENCE & TECHNOLOGY ETF,,
94,AIR,AAR CORP.,Aerospace,Capital Goods
95,AIT,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",Industrial Specialties,Consumer Durables
96,AIV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,Real Estate Investment Trusts,Consumer Services
97,AIZ,"ASSURANT, INC.",Property-Casualty Insurers,Finance
98,AJG,ARTHUR J. GALLAGHER & CO.,Specialty Insurers,Finance
99,AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC.",Military/Government/Technical,Capital Goods
100,AJX,GREAT AJAX CORP.,Real Estate Investment Trusts,Consumer Services
101,AKAM,"AKAMAI TECHNOLOGIES, INC.",Business Services,Miscellaneous
102,AKBA,"AKEBIA THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
103,AKR,ACADIA REALTY TRUST,Real Estate Investment Trusts,Consumer Services
104,AKTS,"AKOUSTIS TECHNOLOGIES, INC.",Telecommunications Equipment,Public Utilities
105,AL,AIR LEASE CORPORATION,Diversified Commercial Services,Technology
106,ALB,ALBEMARLE CORPORATION,Major Chemicals,Basic Industries
107,ALC,ALCON INC.,Ophthalmic Goods,Health Care
108,ALCO,"ALICO, INC.",Farming/Seeds/Milling,Consumer Non-Durables
109,ALE,"ALLETE, INC.",Power Generation,Public Utilities
110,ALEX,"ALEXANDER & BALDWIN, INC.",Real Estate Investment Trusts,Consumer Services
111,ALG,"ALAMO GROUP, INC.",Industrial Machinery/Components,Capital Goods
112,ALGN,"ALIGN TECHNOLOGY, INC.",Industrial Specialties,Health Care
113,ALGT,ALLEGIANT TRAVEL COMPANY,Air Freight/Delivery Services,Transportation
114,ALIM,"ALIMERA SCIENCES, INC.",Major Pharmaceuticals,Health Care
115,ALK,"ALASKA AIR GROUP, INC.",Air Freight/Delivery Services,Transportation
116,ALKS,ALKERMES PLC,Major Pharmaceuticals,Health Care
117,ALL,ALLSTATE CORPORATION (THE),Property-Casualty Insurers,Finance
118,ALLE,ALLEGION PLC,Diversified Commercial Services,Consumer Services
119,ALLY,ALLY FINANCIAL INC.,Major Banks,Finance
120,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
121,ALRM,"ALARM.COM HOLDINGS, INC.",Computer Software: Prepackaged Software,Technology
122,ALSK,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.",Telecommunications Equipment,Public Utilities
123,ALSN,"ALLISON TRANSMISSION HOLDINGS, INC.",Auto Parts:O.E.M.,Capital Goods
124,ALTR,ALTAIR ENGINEERING INC.,Computer Software: Prepackaged Software,Technology
125,ALV,"AUTOLIV, INC.",Auto Parts:O.E.M.,Capital Goods
126,ALX,"ALEXANDER'S, INC.",Real Estate Investment Trusts,Consumer Services
127,ALXN,"ALEXION PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
128,AM,ANTERO MIDSTREAM CORPORATION,Natural Gas Distribution,Public Utilities
129,AMAG,"AMAG PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
130,AMAT,"APPLIED MATERIALS, INC.",Semiconductors,Technology
131,AMBA,"AMBARELLA, INC.",Semiconductors,Technology
132,AMBC,"AMBAC FINANCIAL GROUP, INC.",Property-Casualty Insurers,Finance
133,AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",Movies/Entertainment,Consumer Services
134,AMCX,AMC NETWORKS INC.,Television Services,Consumer Services
135,AMD,"ADVANCED MICRO DEVICES, INC.",Semiconductors,Technology
136,AME,"AMTEK, INC.",Metal Fabrications,Consumer Durables
137,AMED,AMEDISYS INC,Medical/Nursing Services,Health Care
138,AMG,"AFFILIATED MANAGERS GROUP, INC.",Investment Managers,Finance
139,AMGN,AMGEN INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
140,AMH,AMERICAN HOMES 4 RENT,Real Estate Investment Trusts,Consumer Services
141,AMKR,"AMKOR TECHNOLOGY, INC.",Semiconductors,Technology
142,AMN,AMN HEALTHCARE SERVICES INC,Professional Services,Technology
143,AMNB,"AMERICAN NATIONAL BANKSHARES, INC.",Major Banks,Finance
144,AMOT,"ALLIED MOTION TECHNOLOGIES, INC.",Electrical Products,Capital Goods
145,AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",Investment Managers,Finance
146,AMPE,"AMPIO PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
147,AMPH,"AMPHASTAR PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
148,AMRC,"AMERESCO, INC.",Engineering & Construction,Basic Industries
149,AMRS,"AMYRIS, INC.",Major Chemicals,Basic Industries
150,AMSC,AMERICAN SUPERCONDUCTOR CORPORATION,Metal Fabrications,Consumer Durables
151,AMSF,"AMERISAFE, INC.",Property-Casualty Insurers,Finance
152,AMSWA,"AMERICAN SOFTWARE, INC.",Computer Software: Prepackaged Software,Technology
153,AMT,AMERICAN TOWER CORPORATION (REIT),Real Estate Investment Trusts,Consumer Services
154,AMTD,TD AMERITRADE HOLDING CORPORATION,Investment Bankers/Brokers/Service,Finance
155,AMWD,AMERICAN WOODMARK CORPORATION,Forest Products,Basic Industries
156,AMZN,"AMAZON.COM, INC.",Catalog/Specialty Distribution,Consumer Services
157,AN,"AUTONATION, INC.",Automotive Aftermarket,Consumer Durables
158,ANAB,"ANAPTYSBIO, INC.",Major Pharmaceuticals,Health Care
159,ANAT,"AMERICAN NATIONAL GROUP, INC.",Life Insurance,Finance
160,ANDE,"THE ANDERSONS, INC.",Farming/Seeds/Milling,Consumer Services
161,ANET,"ARISTA NETWORKS, INC.",Computer Communications Equipment,Technology
162,ANF,ABERCROMBIE & FITCH COMPANY,Clothing/Shoe/Accessory Stores,Consumer Services
163,ANGI,ANGI HOMESERVICES INC.,Advertising,Consumer Services
164,ANGO,"ANGIODYNAMICS, INC.",Medical/Dental Instruments,Health Care
165,ANH,ANWORTH MORTGAGE ASSET CORPORATION,Real Estate Investment Trusts,Consumer Services
166,ANIK,ANIKA THERAPEUTICS INC.,Medical/Dental Instruments,Health Care
167,ANIP,"ANI PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
168,ANSS,"ANSYS, INC.",Computer Software: Prepackaged Software,Technology
169,ANTM,"ANTHEM, INC.",Medical Specialities,Health Care
170,AON,AON PLC,Specialty Insurers,Finance
171,AOS,A.O SMITH CORPORATION,Consumer Electronics/Appliances,Consumer Durables
172,AOSL,ALPHA AND OMEGA SEMICONDUCTOR LIMITED,Semiconductors,Technology
173,AP,AMPCO-PITTSBURGH CORPORATION,Fluid Controls,Capital Goods
174,APA,APACHE CORPORATION,Oil & Gas Production,Energy
175,APAM,ARTISAN PARTNERS ASSET MANAGEMENT INC.,Investment Managers,Finance
176,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Major Chemicals,Basic Industries
177,APEI,"AMERICAN PUBLIC EDUCATION, INC.",Other Consumer Services,Consumer Services
178,APH,AMPHENOL CORPORATION,Electrical Products,Capital Goods
179,APLE,"APPLE HOSPITALITY REIT, INC.",Real Estate Investment Trusts,Consumer Services
180,APOG,"APOGEE ENTERPRISES, INC.",Auto Parts:O.E.M.,Capital Goods
181,APPF,"APPFOLIO, INC.",Computer Software: Prepackaged Software,Technology
182,APTS,"PREFERRED APARTMENT COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
183,AQMS,"AQUA METALS, INC.",Metal Fabrications,Basic Industries
184,AR,ANTERO RESOURCES CORPORATION,Oil & Gas Production,Energy
185,ARA,"AMERICAN RENAL ASSOCIATES HOLDINGS, INC",Misc Health and Biotechnology Services,Health Care
186,ARAY,ACCURAY INCORPORATED,Medical/Dental Instruments,Health Care
187,ARB,,,
188,ARC,"ARC DOCUMENT SOLUTIONS, INC.",Professional Services,Consumer Services
189,ARCB,ARCBEST CORPORATION,Trucking Freight/Courier Services,Transportation
190,ARCC,ARES CAPITAL CORPORATION,,
191,ARCH,"ARCH RESOURCES, INC.",Coal Mining,Energy
192,ARD,ARDAGH GROUP S.A.,Containers/Packaging,Consumer Durables
193,ARDX,"ARDELYX, INC.",Major Pharmaceuticals,Health Care
194,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate Investment Trusts,Consumer Services
195,ARI,APOLLO COMMERCIAL REAL ESTATE FINANCE,Real Estate Investment Trusts,Consumer Services
196,ARL,"AMERICAN REALTY INVESTORS, INC.",Real Estate,Finance
197,ARMK,ARAMARK,Restaurants,Consumer Services
198,ARNA,"ARENA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
199,ARNC,ARCONIC CORPORATION,,
200,AROC,"ARCHROCK, INC.",Natural Gas Distribution,Public Utilities
201,AROW,ARROW FINANCIAL CORPORATION,Major Banks,Finance
202,ARR,"ARMOUR RESIDENTIAL REIT, INC.",Real Estate Investment Trusts,Consumer Services
203,ARTL,"ARTELO BIOSCIENCES, INC.",Business Services,Miscellaneous
204,ARTNA,ARTESIAN RESOURCES CORPORATION,Water Supply,Public Utilities
205,ARW,"ARROW ELECTRONICS, INC.",Electronic Components,Technology
206,ASB,ASSOCIATED BANC-CORP,Major Banks,Finance
207,ASC,ARDMORE SHIPPING CORPORATION,Marine Transportation,Transportation
208,ASGN,ASGN INCORPORATED,Professional Services,Technology
209,ASH,ASHLAND GLOBAL HOLDINGS INC.,Specialty Chemicals,Consumer Durables
210,ASIX,ADVANSIX INC.,Major Chemicals,Basic Industries
211,ASMB,"ASSEMBLY BIOSCIENCES, INC.",Major Pharmaceuticals,Health Care
212,ASPS,ALTISOURCE PORTFOLIO SOLUTIONS S.A.,Other Consumer Services,Consumer Services
213,ASTE,"ASTEC INDUSTRIES, INC.",Construction/Ag Equipment/Trucks,Capital Goods
214,ASYS,"AMTECH SYSTEMS, INC.",Industrial Machinery/Components,Technology
215,AT,ATLANTIC POWER CORPORATION,Electric Utilities: Central,Energy
216,ATEC,"ALPHATEC HOLDINGS, INC.",Medical/Dental Instruments,Health Care
217,ATEN,"A10 NETWORKS, INC.",Computer Communications Equipment,Technology
218,ATGE,ADTALEM GLOBAL EDUCATION INC.,Other Consumer Services,Consumer Services
219,ATH,ATHENE HOLDING LTD.,Life Insurance,Finance
220,ATHX,"ATHERSYS, INC.",Major Pharmaceuticals,Health Care
221,ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,Steel/Iron Ore,Basic Industries
222,ATKR,ATKORE INTERNATIONAL GROUP INC.,Industrial Machinery/Components,Miscellaneous
223,ATLO,AMES NATIONAL CORPORATION,Major Banks,Finance
224,ATNI,"ATN INTERNATIONAL, INC.",Telecommunications Equipment,Public Utilities
225,ATO,ATMOS ENERGY CORPORATION,Oil/Gas Transmission,Public Utilities
226,ATR,"APTARGROUP, INC.",Plastic Products,Consumer Non-Durables
227,ATRA,"ATARA BIOTHERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
228,ATRC,"ATRICURE, INC.",Medical/Dental Instruments,Health Care
229,ATRI,ATRION CORPORATION,Medical/Dental Instruments,Health Care
230,ATRO,ASTRONICS CORPORATION,Military/Government/Technical,Capital Goods
231,ATRS,"ANTARES PHARMA, INC.",Medical/Dental Instruments,Health Care
232,ATSG,"AIR TRANSPORT SERVICES GROUP, INC",Air Freight/Delivery Services,Transportation
233,ATVI,"ACTIVISION BLIZZARD, INC",Computer Software: Prepackaged Software,Technology
234,AUBN,"AUBURN NATIONAL BANCORPORATION, INC.",Major Banks,Finance
235,AUMN,GOLDEN MINERALS COMPANY,Precious Metals,Basic Industries
236,AVA,AVISTA CORPORATION,Power Generation,Public Utilities
237,AVAV,"AEROVIRONMENT, INC.",Aerospace,Capital Goods
238,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
239,AVCT,"AMERICAN VIRTUAL CLOUD TECHNOLOGIES, INC.",EDP Services,Technology
240,AVD,AMERICAN VANGUARD CORPORATION,Agricultural Chemicals,Basic Industries
241,AVEO,"AVEO PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
242,AVGO,BROADCOM INC.,Semiconductors,Technology
243,AVID,"AVID TECHNOLOGY, INC.",Computer Software: Prepackaged Software,Technology
244,AVNW,"AVIAT NETWORKS, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
245,AVT,"AVNET, INC.",Electronic Components,Technology
246,AVTR,"AVANTOR, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
247,AVXL,ANAVEX LIFE SCIENCES CORP.,Biotechnology: Commercial Physical & Biological Resarch,Health Care
248,AVY,AVERY DENNISON CORPORATION,Containers/Packaging,Consumer Durables
249,AWAY,,,
250,AWH,ASPIRA WOMEN'S HEALTH INC.,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
251,AWI,ARMSTRONG WORLD INDUSTRIES INC,Plastic Products,Consumer Non-Durables
252,AWK,AMERICAN WATER WORKS,Water Supply,Public Utilities
253,AWR,AMERICAN STATES WATER COMPANY,Water Supply,Public Utilities
254,AXAS,ABRAXAS PETROLEUM CORPORATION,Oil & Gas Production,Energy
255,AXDX,"ACCELERATE DIAGNOSTICS, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
256,AXGN,"AXOGEN, INC.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
257,AXL,"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.",Auto Parts:O.E.M.,Capital Goods
258,AXP,AMERICAN EXPRESS COMPANY,Finance: Consumer Services,Finance
259,AXR,AMREP CORPORATION,Newspapers/Magazines,Consumer Services
260,AXS,AXIS CAPITAL HOLDINGS LIMITED,Property-Casualty Insurers,Finance
261,AXTA,AXALTA COATING SYSTEMS LTD.,Paints/Coatings,Basic Industries
262,AXTI,AXT INC,Semiconductors,Technology
263,AYI,"ACUITY BRANDS, INC.",Building Products,Consumer Durables
264,AYX,"ALTERYX, INC.",Computer Software: Prepackaged Software,Technology
265,AZO,"AUTOZONE, INC.",Other Specialty Stores,Consumer Services
266,AZPN,"ASPEN TECHNOLOGY, INC.",EDP Services,Technology
267,AZZ,AZZ INC.,Building Products,Consumer Durables
268,B,"BARNES GROUP, INC.",Metal Fabrications,Capital Goods
269,BA,BOEING COMPANY (THE),Aerospace,Capital Goods
270,BAC,BANK OF AMERICA CORPORATION,Major Banks,Finance
271,BAH,BOOZ ALLEN HAMILTON HOLDING CORPORATION,Professional Services,Consumer Services
272,BANC,"BANC OF CALIFORNIA, INC.",Major Banks,Finance
273,BANF,BANCFIRST CORPORATION,Major Banks,Finance
274,BANR,BANNER CORPORATION,Major Banks,Finance
275,BATRA,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
276,BATRK,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
277,BAX,BAXTER INTERNATIONAL INC.,Medical/Dental Instruments,Health Care
278,BBBY,BED BATH & BEYOND INC.,Home Furnishings,Consumer Services
279,BBGI,"BEASLEY BROADCAST GROUP, INC.",Broadcasting,Consumer Services
280,BBI,"BRICKELL BIOTECH, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
281,BBSI,"BARRETT BUSINESS SERVICES, INC.",Professional Services,Technology
282,BBW,"BUILD-A-BEAR WORKSHOP, INC.",Recreational Products/Toys,Consumer Services
283,BBX,BBX CAPITAL CORPORATION,Real Estate,Finance
284,BBY,"BEST BUY CO., INC.",Consumer Electronics/Video Chains,Consumer Services
285,BC,BRUNSWICK CORPORATION,Industrial Machinery/Components,Energy
286,BCBP,"BCB BANCORP, INC. (NJ)",Savings Institutions,Finance
287,BCC,"BOISE CASCADE, L.L.C.",RETAIL: Building Materials,Consumer Services
288,BCEI,"BONANZA CREEK ENERGY, INC.",Oil & Gas Production,Energy
289,BCO,BRINK'S COMPANY (THE),Oil Refining/Marketing,Transportation
290,BCOR,"BLUCORA, INC.",Finance: Consumer Services,Finance
291,BCOV,BRIGHTCOVE INC.,EDP Services,Technology
292,BCPC,BALCHEM CORPORATION,Major Chemicals,Basic Industries
293,BCRX,"BIOCRYST PHARMACEUTICALS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
294,BDC,BELDEN INC,Telecommunications Equipment,Basic Industries
295,BDGE,"BRIDGE BANCORP, INC.",Major Banks,Finance
296,BDN,BRANDYWINE REALTY TRUST,Real Estate Investment Trusts,Consumer Services
297,BDSI,"BIODELIVERY SCIENCES INTERNATIONAL, INC.",Major Pharmaceuticals,Health Care
298,BDX,"BECTON, DICKINSON AND COMPANY",Medical/Dental Instruments,Health Care
299,BEAM,BEAM THERAPEUTICS INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
300,BEAT,"BIOTELEMETRY, INC.",Medical Specialities,Health Care
301,BECN,"BEACON ROOFING SUPPLY, INC.",RETAIL: Building Materials,Consumer Services
302,BELFB,BEL FUSE INC.,Electrical Products,Capital Goods
303,BEN,"FRANKLIN RESOURCES, INC.",Investment Managers,Finance
304,BERY,"BERRY GLOBAL GROUP, INC.",Plastic Products,Consumer Non-Durables
305,BF-A,BROWN FORMAN CORPORATION,,
306,BF-B,BROWN FORMAN CORPORATION,,
307,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,Other Consumer Services,Miscellaneous
308,BFIN,BANKFINANCIAL CORPORATION,Savings Institutions,Finance
309,BFS,"SAUL CENTERS, INC.",Real Estate Investment Trusts,Consumer Services
310,BG,BUNGE LIMITED,Packaged Foods,Consumer Non-Durables
311,BGCP,"BGC PARTNERS, INC.",Investment Bankers/Brokers/Service,Finance
312,BGFV,BIG 5 SPORTING GOODS CORPORATION,Other Specialty Stores,Consumer Services
313,BGS,"B&G FOODS, INC.",Packaged Foods,Consumer Non-Durables
314,BGSF,BG STAFFING INC,Professional Services,Technology
315,BH,BIGLARI HOLDINGS INC.,Restaurants,Consumer Services
316,BHB,"BAR HARBOR BANKSHARES, INC.",Major Banks,Finance
317,BHE,"BENCHMARK ELECTRONICS, INC.",Electrical Products,Technology
318,BHLB,"BERKSHIRE HILLS BANCORP, INC.",Banks,Finance
319,BHVN,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,Major Pharmaceuticals,Health Care
320,BIDU,"BAIDU, INC.","Computer Software: Programming, Data Processing",Technology
321,BIG,"BIG LOTS, INC.",Department/Specialty Retail Stores,Consumer Services
322,BIIB,BIOGEN INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
323,BIO,"BIO-RAD LABORATORIES, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
324,BIOL,"BIOLASE, INC.",Medical/Dental Instruments,Health Care
325,BJ,"BJ'S WHOLESALE CLUB HOLDINGS, INC.",Department/Specialty Retail Stores,Consumer Services
326,BJRI,"BJ'S RESTAURANTS, INC.",Restaurants,Consumer Services
327,BK,THE BANK OF NEW YORK MELLON CORPORATION,Major Banks,Finance
328,BKH,BLACK HILLS CORPORATION,Electric Utilities: Central,Public Utilities
329,BKI,"BLACK KNIGHT, INC.",Computer Software: Prepackaged Software,Technology
330,BKR,BAKER HUGHES COMPANY,Metal Fabrications,Energy
331,BKU,"BANKUNITED, INC.",Savings Institutions,Finance
332,BL,"BLACKLINE, INC.",Computer Software: Prepackaged Software,Technology
333,BLBD,BLUE BIRD CORPORATION,Construction/Ag Equipment/Trucks,Capital Goods
334,BLCM,"BELLICUM PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
335,BLD,TOPBUILD CORP.,Engineering & Construction,Basic Industries
336,BLDR,"BUILDERS FIRSTSOURCE, INC.",RETAIL: Building Materials,Consumer Services
337,BLK,"BLACKROCK, INC.",Investment Bankers/Brokers/Service,Finance
338,BLKB,"BLACKBAUD, INC.",Computer Software: Prepackaged Software,Technology
339,BLL,BALL CORPORATION,Containers/Packaging,Consumer Durables
340,BLMN,"BLOOMIN' BRANDS, INC.",Restaurants,Consumer Services
341,BLUE,"BLUEBIRD BIO, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
342,BLX,"BANCO LATINOAMERICANO DE COMERCIO EXTERIOR, S.A.",Commercial Banks,Finance
343,BMCH,"BMC STOCK HOLDINGS, INC.",RETAIL: Building Materials,Consumer Services
